"Origin.Code","Notes","Domain","Tier","Search.Engine","Click.Date","Impressions","Clicks","Engine.CTR","Picks","LP.CTR","CPC","RPC","RPP","Cost","Rev","Margin","ROI"
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",NA,14881374,309356,0.0208,156498,0.5059,0.001,0.002,0.004,438.08,606.32,168.23,1.384
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-03-13,574194,11573,0.0202,5890,0.5089,0.002,0.002,0.004,18.37,23.39,5.03,1.274
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-03-14,537764,10645,0.0198,5115,0.4805,0.002,0.002,0.005,17.59,24.01,6.41,1.365
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-03-15,457362,9412,0.0206,4659,0.495,0.002,0.002,0.004,16.18,20.7,4.52,1.28
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-03-16,366241,9998,0.0273,5381,0.5382,0.002,0.002,0.004,16.94,22.37,5.44,1.321
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-03-17,407772,8693,0.0213,4470,0.5142,0.002,0.002,0.004,17.09,19.24,2.14,1.125
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-03-18,580147,11491,0.0198,5816,0.5061,0.001,0.002,0.004,16.77,22.96,6.19,1.369
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-03-19,577391,11901,0.0206,6070,0.51,0.002,0.002,0.004,21.53,24.22,2.69,1.125
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-03-20,572859,11398,0.0199,5608,0.492,0.001,0.002,0.004,16.24,24.03,7.79,1.48
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-03-21,543243,10734,0.0198,5366,0.4999,0.002,0.002,0.004,18.31,23.51,5.2,1.284
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-03-22,474174,9569,0.0202,5027,0.5253,0.002,0.002,0.005,15.35,23.5,8.16,1.531
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-03-23,420372,9194,0.0219,4737,0.5152,0.001,0.002,0.005,13.18,21.55,8.38,1.636
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-03-24,473974,9888,0.0209,4861,0.4916,0.002,0.002,0.004,18.52,21.47,2.95,1.159
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-03-25,627433,12470,0.0199,6211,0.4981,0.001,0.002,0.005,18.55,29.8,11.25,1.606
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-03-26,598456,11763,0.0197,5880,0.4999,0.002,0.002,0.004,20.6,23.9,3.3,1.16
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-03-27,570512,11450,0.0201,5634,0.4921,0.002,0.002,0.005,20,27.11,7.11,1.355
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-03-28,519956,10527,0.0202,5273,0.5009,0.001,0.002,0.005,15.18,24.56,9.38,1.618
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-03-29,427836,8887,0.0208,4628,0.5208,0.002,0.002,0.004,13.92,20.42,6.5,1.467
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-03-30,344355,7597,0.0221,4080,0.5371,0.002,0.002,0.005,13.62,18.92,5.3,1.39
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-03-31,359011,7649,0.0213,3875,0.5066,0.002,0.003,0.005,12.71,20.88,8.17,1.643
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-04-01,581948,11589,0.0199,5754,0.4965,0.002,0.002,0.004,20.59,21.86,1.26,1.061
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-04-02,607796,12155,0.02,5970,0.4912,0.002,0.002,0.004,21.2,25.15,3.95,1.186
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-04-03,603626,11980,0.0198,5975,0.4987,0.001,0.002,0.004,16.75,24.8,8.06,1.481
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-04-04,576696,11770,0.0204,5944,0.505,0.002,0.002,0.004,17.67,24.32,6.64,1.376
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-04-05,502727,10634,0.0212,5593,0.526,0.002,0.002,0.004,16.04,22.48,6.45,1.402
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-04-06,408227,13028,0.0319,7039,0.5403,0.002,0.002,0.004,24.52,31.23,6.71,1.274
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-04-07,433733,8937,0.0206,4856,0.5434,0.002,0.002,0.004,13.63,21.78,8.15,1.598
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-04-08,593873,11669,0.0196,5814,0.4982,0.002,0.002,0.004,18.44,22.96,4.53,1.246
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-04-09,577640,11596,0.0201,5617,0.4844,0.002,0.002,0.004,18.3,24.06,5.76,1.314
"4800 - Expansion- Health 2013","Intraday LD","ABC","other","XYZ",2013-04-10,562056,11159,0.0199,5355,0.4799,0.002,0.002,0.005,17.6,24.77,7.17,1.407
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",NA,16817653,86760,0.0052,45713,0.5269,0.002,0.002,0.004,141.84,169.28,27.44,1.193
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-03-13,646076,3339,0.0052,1798,0.5385,0.002,0.003,0.006,6.03,10.25,4.22,1.701
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-03-14,626708,3220,0.0051,1695,0.5264,0.002,0.003,0.006,5.37,10.54,5.17,1.961
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-03-15,556453,2811,0.0051,1467,0.5219,0.003,0.002,0.005,9.13,6.88,-2.24,0.754
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-03-16,520406,2634,0.0051,1463,0.5554,0.003,0.003,0.006,9.21,8.12,-1.09,0.881
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-03-17,555759,2793,0.005,1437,0.5145,0.003,0.003,0.006,8.66,8.89,0.24,1.027
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-03-18,571400,2983,0.0052,1593,0.534,0.002,0.002,0.004,5.75,6.84,1.1,1.191
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-03-19,573155,2804,0.0049,1513,0.5396,0.003,0.003,0.005,7.47,8.07,0.6,1.08
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-03-20,568978,2950,0.0052,1545,0.5237,0.003,0.004,0.007,9.29,10.54,1.25,1.134
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-03-21,552349,2900,0.0053,1531,0.5279,0.002,0.002,0.005,6.38,7.17,0.79,1.124
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-03-22,528768,2525,0.0048,1321,0.5232,0.003,0.004,0.007,7.9,9.69,1.79,1.227
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-03-23,658209,3617,0.0055,1912,0.5286,0.002,0.002,0.005,7.56,8.99,1.43,1.189
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-03-24,683545,3671,0.0054,2073,0.5647,0.003,0.002,0.004,9.43,8.46,-0.98,0.896
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-03-25,660869,3686,0.0056,1890,0.5128,0.002,0.003,0.005,7.59,10.22,2.63,1.347
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-03-26,621016,3503,0.0056,1900,0.5424,0.003,0.003,0.006,9.69,11.55,1.85,1.191
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-03-27,619784,3264,0.0053,1742,0.5337,0.003,0.003,0.005,9.46,8.18,-1.28,0.864
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-03-28,576877,3156,0.0055,1660,0.526,0.002,0.002,0.004,7.36,6.81,-0.55,0.925
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-03-29,467504,2635,0.0056,1316,0.4994,0.002,0.004,0.007,5.4,9.44,4.04,1.747
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-03-30,483361,2519,0.0052,1430,0.5677,0.002,0.003,0.006,4.49,7.96,3.47,1.774
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-03-31,510049,2512,0.0049,1284,0.5111,0.002,0.003,0.006,4.23,8.22,3.99,1.942
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-04-01,552685,3111,0.0056,1550,0.4982,0.002,0.003,0.006,7.76,9.07,1.31,1.17
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-04-02,579236,3103,0.0054,1589,0.5121,0.002,0.004,0.007,7.4,11.24,3.84,1.518
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-04-03,637376,3311,0.0052,1731,0.5228,0.003,0.003,0.006,9.79,11.25,1.45,1.148
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-04-04,733005,3542,0.0048,1744,0.4924,0.003,0.003,0.006,9.13,10.81,1.69,1.185
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-04-05,597930,2880,0.0048,1519,0.5274,0.003,0.003,0.005,8.14,8.16,0.02,1.003
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-04-06,563953,2655,0.0047,1422,0.5356,0.003,0.003,0.006,7.18,8.07,0.89,1.123
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-04-07,566120,2631,0.0046,1434,0.545,0.003,0.002,0.004,8.53,5.09,-3.45,0.596
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-04-08,551692,2778,0.005,1435,0.5166,0.002,0.003,0.006,4.57,9.06,4.49,1.981
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-04-09,533116,2570,0.0048,1297,0.5047,0.002,0.003,0.005,6.13,6.52,0.39,1.064
"4803 - Expansion- Computers 2013","Intraday LD","ABC","other","XYZ",2013-04-10,521274,2657,0.0051,1422,0.5352,0.003,0.003,0.005,9.15,7.09,-2.06,0.775
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",NA,7175576,142235,0.0198,61528,0.4326,0.001,0.002,0.004,179.86,258.97,79.1,1.44
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-03-13,306293,6315,0.0206,2779,0.4401,0.001,0.002,0.004,8.06,11.01,2.95,1.366
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-03-14,293713,6308,0.0215,2604,0.4128,0.002,0.002,0.004,12.64,10.35,-2.29,0.819
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-03-15,261330,5706,0.0218,2394,0.4196,0.002,0.002,0.006,11.91,14.09,2.19,1.184
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-03-16,185333,4463,0.0241,2034,0.4557,0.002,0.003,0.006,7.58,12.33,4.75,1.626
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-03-17,194951,3986,0.0204,1836,0.4606,0.002,0.002,0.005,6.55,9.44,2.89,1.441
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-03-18,305897,6373,0.0208,2778,0.4359,0.001,0.002,0.005,8.56,14.53,5.97,1.697
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-03-19,296874,6117,0.0206,2616,0.4277,0.001,0.002,0.006,8.88,14.47,5.59,1.629
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-03-20,290332,5713,0.0197,2315,0.4052,0.001,0.002,0.005,7.59,11.54,3.96,1.522
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-03-21,285362,5762,0.0202,2341,0.4063,0.002,0.002,0.005,9.02,11.77,2.75,1.305
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-03-22,250014,4927,0.0197,2120,0.4303,0.002,0.003,0.006,10.7,12.52,1.82,1.17
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-03-23,201204,3985,0.0198,1840,0.4617,0.001,0.003,0.007,5,13.06,8.06,2.614
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-03-24,214989,4007,0.0186,1789,0.4465,0.002,0.002,0.006,7.34,9.9,2.56,1.349
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-03-25,305467,5663,0.0185,2410,0.4256,0.001,0.003,0.006,8.14,15.62,7.49,1.92
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-03-26,289155,5334,0.0184,2251,0.422,0.001,0.002,0.004,6.86,10.07,3.22,1.469
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-03-27,264253,5236,0.0198,2184,0.4171,0.001,0.002,0.004,7.23,9.76,2.53,1.35
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-03-28,241084,4725,0.0196,1874,0.3966,0.002,0.002,0.005,8.31,10.29,1.98,1.238
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-03-29,196663,4189,0.0213,1812,0.4326,0.001,0.002,0.006,5.64,10.12,4.48,1.796
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-03-30,147092,3079,0.0209,1355,0.4401,0.002,0.004,0.008,5.48,10.78,5.3,1.968
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-03-31,145131,2722,0.0188,1239,0.4552,0.002,0.004,0.008,6.24,9.54,3.29,1.527
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-04-01,272785,5635,0.0207,2525,0.4481,0.001,0.002,0.005,8.44,12.3,3.86,1.458
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-04-02,288716,5510,0.0191,2337,0.4241,0.002,0.002,0.004,10.22,10.37,0.15,1.015
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-04-03,287603,5475,0.019,2284,0.4172,0.002,0.002,0.004,10.86,8.93,-1.93,0.822
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-04-04,271764,5263,0.0194,2434,0.4625,0.001,0.002,0.004,7.44,10.47,3.04,1.409
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-04-05,245742,4706,0.0192,2006,0.4263,0.002,0.002,0.005,8.18,9.04,0.86,1.105
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-04-06,171143,3228,0.0189,1505,0.4662,0.002,0.003,0.007,5.57,9.92,4.35,1.781
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-04-07,180574,3270,0.0181,1541,0.4713,0.001,0.002,0.005,4.48,7.28,2.8,1.625
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-04-08,266624,5019,0.0188,2274,0.4531,0.002,0.002,0.005,11.08,10.8,-0.28,0.974
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-04-09,260249,4759,0.0183,2063,0.4335,0.002,0.002,0.005,8.68,9.71,1.03,1.118
"4806 - Expansion- Finance 2013","Intraday LD","ABC","other","XYZ",2013-04-10,255239,4760,0.0186,1988,0.4176,0.002,0.002,0.005,7.63,9.37,1.74,1.228
